,City,Temperature,Humidity,Cloud Cover (%),Wind Speed,Log,Lat
0,Kavaratti,82.33,60,31,9.69,72.642,10.5669
1,Acarí,65.21,75,54,4.36,-74.6158,-15.4311
2,Khatanga,-4.09,99,96,3.87,102.5,71.9667
3,Brae,51.62,88,100,9.08,-1.353,60.3964
4,Morón,70.5,76,100,10.2,-58.6198,-34.6534
5,Mahébourg,71.89,83,75,11.5,57.7,-20.4081
6,Thompson,24.96,93,100,6.91,-97.8558,55.7435
7,Arraial do Cabo,70.97,78,1,8.32,-42.0278,-22.9661
8,Sonepur,71.37,74,0,1.34,83.9167,20.8333
9,Lagoa,62.51,69,37,24.72,-27.9833,39.05
10,Sangmélima,66.97,99,100,2.17,11.9833,2.9333
11,Busselton,62.47,57,68,8.08,115.3333,-33.65
12,Sørland,44.46,68,100,4.0,12.6934,67.667
13,Neiafu,75.88,73,75,5.75,-173.9833,-18.65
14,Ussel,49.51,96,3,2.57,2.3167,45.55
15,Ponta do Sol,70.52,91,84,7.02,-17.1,32.6667
16,Kaitangata,50.34,90,100,6.8,169.8464,-46.2817
17,São Filipe,78.24,77,100,4.43,-24.4956,14.8961
18,Ribeira Grande,61.77,77,64,1.99,-28.7,38.5167
19,Killarney,55.08,85,71,16.82,-9.5167,52.05
20,Port Alfred,59.18,90,100,1.01,26.891,-33.5906
21,Bathsheba,83.01,78,20,18.41,-59.5167,13.2167
22,Lebu,54.07,97,100,9.26,-73.65,-37.6167
23,Gobabis,71.19,19,22,4.25,18.9667,-22.45
24,Tiksi,17.85,88,100,14.99,128.8694,71.6872
25,Moratuwa,77.02,84,53,1.57,79.8816,6.773
26,Bredasdorp,61.05,72,100,9.46,20.0403,-34.5322
27,Aswān,68.16,46,0,8.48,32.907,24.0934
28,Caravelas,71.44,92,0,4.21,-39.2481,-17.7125
29,Chivana,79.92,92,87,3.67,-87.9833,15.75
30,Vaini,73.56,73,75,4.61,-175.2,-21.2
31,Hilo,82.11,72,0,5.01,-155.09,19.7297
32,Jamestown,62.98,61,0,8.01,-79.2353,42.097
33,Ushuaia,47.86,49,75,9.22,-68.3,-54.8
34,Bouza,79.21,23,16,8.79,6.0428,14.4229
35,Punta Arenas,46.51,66,100,11.5,-70.9167,-53.15
36,Butaritari,82.2,74,60,5.28,172.7902,3.0707
37,Cape Town,60.67,77,0,13.0,18.4232,-33.9258
38,East London,63.32,70,100,9.42,27.9116,-33.0153
39,Geraldton,66.61,48,4,14.97,114.6,-28.7667
40,Mezhdurechensk,30.38,58,0,2.35,88.0603,53.6942
41,Hermanus,59.81,79,100,12.64,19.2345,-34.4187
42,Avarua,77.05,53,75,9.22,-159.775,-21.2078
43,Fortuna,52.27,87,0,9.22,-124.1573,40.5982
44,Barrow,21.22,86,100,23.02,-156.7887,71.2906
45,Salinas,56.64,72,0,10.36,-121.6555,36.6777
46,New Norfolk,57.69,82,100,5.01,147.0587,-42.7826
47,Bengkulu,75.87,92,100,4.68,102.2655,-3.8004
48,Atuona,77.31,73,6,17.65,-139.0333,-9.8
49,Rawson,58.05,53,54,13.0,-65.1023,-43.3002
50,Qaanaaq,18.16,94,100,8.5,-69.3632,77.484
